;a0-1;a1-4;a5-14;a15-24;a25-34;a35-44;a45-54;a55-64;a65-74;a75-84;a85-94;a95+
Abus_alcool;0;0;0;29;214;763;1839;1543;1203;636;95;5
Accidents_transport;52;194;655;4653;2451;1841;1927;1409;1479;1211;272;12
Arthrite_rhumatoide_osteoarthrite;0;0;3;2;6;6;26;59;301;526;301;57
Asthme;9;6;9;29;39;59;183;266;535;846;464;67
Autres_maladies_toute_cause;1561;894;1145;2906;3255;5150;12494;20624;52970;118780;98187;19663
Autres_malformations_congen_anom_chromosomiques;798;83;50;44;51;50;114;132;76;79;45;1
Autres_symptomes_etats_morbide_mal_definis;117;36;30;83;201;462;1028;1588;3381;10584;15250;5753
Autres_troubles_mentaux_comportement;0;2;9;32;61;149;323;439;1409;5488;7145;2114
Autres_tumeurs;28;49;120;106;140;307;716;1204;2122;3303;2156;345
Autres_tumeurs_malignes;44;239;602;837;1777;6457;26660;45796;72566;81035;31141;2946
Cardiopathies_ischemiques;0;5;2;27;203;1212;4658;8436;20368;32305;18316;2813
Causes_inconnues_non precisees;1720;142;132;872;1265;1772;3036;3191;4394;6149;4388;1125
Infections_periode_perinatale;3519;18;10;5;0;0;0;0;0;0;0;0
Chutes_accidentelles;14;47;60;194;221;295;687;838;1933;6003;6511;1029
Complic_grossesse_accouch_puerperalite;0;0;0;30;80;39;1;0;0;0;0;0
Diabete_sucre;1;1;5;25;73;162;570;1408;3945;7266;4060;574
evenements_dont_intention_non_determinee;10;28;73;336;429;372;420;321;326;262;87;5
Grippe;5;3;5;11;7;13;19;35;143;409;453;76
Hepatites_virales;4;2;3;19;22;91;154;140;227;311;89;6
Homicides;31;36;47;144;199;180;128;92;60;56;16;0
Infection_meningocoques;33;41;13;21;3;4;6;6;12;8;0;0
Infections_peau_tissu_cellulaire_sous-cutane;0;3;2;7;8;15;49;78;345;1190;1369;378
Intoxications_accidentelles;3;28;23;136;181;195;199;132;171;269;199;28
Maladie_chronique_foie;0;4;10;12;298;1680;5488;6395;6429;2912;367;15
Maladies_cerebrovasculaires;29;15;41;127;344;862;2826;5172;17402;40891;27554;3617
Maladies_rein_uretere;11;8;15;24;42;104;288;650;1995;5433;4360;717
Maladies_sang_organes_hematopoietiques;58;74;61;50;60;90;204;351;741;1480;1087;236
Malformations_congenitales_appareil_circulatoire;1093;153;107;87;76;65;82;79;66;65;19;1
Malformations_congenitales_systeme_nerveux;286;63;47;23;18;11;20;9;13;12;3;0
Melanome_malin_peau;0;2;0;21;94;192;270;418;486;485;221;18
Meningites;102;24;18;24;22;37;52;79;125;105;37;0
Pharmacodependance_toxicomanie;0;0;0;25;81;74;21;10;4;7;0;0
Pneumonie;46;23;25;33;44;137;349;491;1434;4895;5707;1610
SIDA_maladies_VIH;0;0;2;9;40;317;252;121;48;14;4;2
Suicides;0;0;70;1431;2693;3280;4000;2968;2887;2336;685;57
Syndrome_de_mort_subite_nourrisson;854;0;0;0;0;0;0;0;0;0;0;0
Tuberculose;1;3;1;11;43;95;257;365;687;892;416;31
Ulcere_gastro-duodenal;0;0;0;6;17;62;200;281;693;1070;579;73
06_Abus_alcool_et_psychose_alcoolique;0;0;0;14;79;403;977;786;397;245;52;3
06_Accidents_de_transport;13;30;90;1214;785;646;599;443;362;454;137;8
06_Arthrite_rhumatoide_osteoarthrite;0;0;0;0;1;0;4;14;99;231;176;54
